Wavelength(nm)	Intensity(counts)
774.74	-4.00
775.18	19.00
775.62	22.00
776.06	-15.00
776.50	12.00
776.93	24.00
777.37	-4.00
777.81	38.00
778.25	-4.00
778.68	11.00
779.12	-12.00
779.56	8.00
780.00	-7.00
780.44	8.00
780.87	6.00
781.31	-25.00
781.75	-6.00
782.19	-35.00
782.62	1.00
783.06	1.00
783.50	-7.00
783.94	-6.00
784.37	2.00
784.81	14.00
785.25	-11.00
785.69	2.00
786.12	-12.00
786.56	-11.00
787.00	16.00
787.44	4.00
787.87	11.00
788.31	22.00
788.75	-3.00
789.18	-11.00
789.62	-18.00
790.06	8.00
790.50	-22.00
790.93	6.00
791.37	-22.00
791.81	14.00
792.24	1.00
792.68	3.00
793.12	5.00
793.55	-19.00
793.99	20.00
794.43	-7.00
794.86	-3.00
795.30	9.00
795.74	-7.00
796.18	11.00
796.61	10.00
797.05	-27.00
797.49	17.00
797.92	9.00
798.36	0.00
798.80	-11.00
799.23	11.00
799.67	-4.00
800.10	-15.00
800.54	-10.00
800.98	18.00
801.41	14.00
801.85	-1.00
802.29	16.00
802.72	-32.00
803.16	0.00
803.60	-7.00
804.03	17.00
804.47	-4.00
804.90	-49.00
805.34	1.00
805.78	0.00
806.21	11.00
806.65	-30.00
807.09	-13.00
807.52	-17.00
807.96	16.00
808.39	4.00
808.83	23.00
809.27	-1.00
809.70	-8.00
810.14	8.00
810.57	-29.00
811.01	7.00
811.44	-14.00
811.88	30.00
812.32	21.00
812.75	-11.00
813.19	-7.00
813.62	-1.00
814.06	-26.00
814.49	-19.00
814.93	-21.00
815.37	25.00
815.80	7.00
816.24	6.00
816.67	-31.00
817.11	-25.00
817.54	-20.00
817.98	13.00
818.41	-6.00
818.85	38.00
819.28	-3.00
819.72	-7.00
820.15	5.00
820.59	11.00
821.03	-1.00
821.46	14.00
821.90	6.00
822.33	28.00
822.77	18.00
823.20	31.00
823.64	8.00
824.07	8.00
824.51	-23.00
824.94	21.00
825.38	-16.00
825.81	-4.00
826.25	-25.00
826.68	22.00
827.12	-19.00
827.55	6.00
827.99	30.00
828.42	12.00
828.85	1.00
829.29	-15.00
829.72	-7.00
830.16	-17.00
830.59	-14.00
831.03	5.00
831.46	-9.00
831.90	1.00
832.33	5.00
832.77	10.00
833.20	-3.00
833.63	7.00
834.07	-13.00
834.50	26.00
834.94	-17.00
835.37	0.00
835.81	-19.00
836.24	13.00
836.67	-19.00
837.11	-21.00
837.54	-21.00
837.98	-32.00
838.41	-1.00
838.85	-4.00
839.28	3.00
839.71	9.00
840.15	-21.00
840.58	-16.00
841.02	-8.00
841.45	-6.00
841.88	-7.00
842.32	-14.00
842.75	-28.00
843.19	-10.00
843.62	-31.00
844.05	-12.00
844.49	16.00
844.92	19.00
845.35	-7.00
845.79	-9.00
846.22	-13.00
846.65	-5.00
847.09	-9.00
847.52	-12.00
847.96	-17.00
848.39	-20.00
848.82	16.00
849.26	-18.00
849.69	-12.00
850.12	-1.00
850.56	-26.00
850.99	-12.00
851.42	12.00
851.86	2.00
852.29	18.00
852.72	-23.00
853.16	-12.00
853.59	-2.00
854.02	-5.00
854.46	-17.00
854.89	8.00
855.32	-2.00
855.75	9.00
856.19	6.00
856.62	-19.00
857.05	9.00
857.49	-2.00
857.92	12.00
858.35	-20.00
858.78	-4.00
859.22	-5.00
859.65	5.00
860.08	14.00
860.52	16.00
860.95	13.00
861.38	10.00
861.81	-2.00
862.25	-24.00
862.68	36.00
863.11	-2.00
863.54	1.00
863.98	40.00
864.41	-6.00
864.84	-1.00
865.27	11.00
865.71	-15.00
866.14	-27.00
866.57	-31.00
867.00	14.00
867.44	14.00
867.87	-1.00
868.30	-8.00
868.73	18.00
869.16	-12.00
869.60	7.00
870.03	12.00
870.46	0.00
