Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
-587951.750	-159113.969	31.738
-700394.250	-98013.563	29.297
-824869.250	-4119.588	26.855
-933070.625	110679.852	24.414
-1032493.875	273653.031	21.973
-1113980.625	465750.250	19.531
-1151964.375	715451.375	17.090
-1158916.750	1006873.125	14.648
-1086825.250	1308158.250	12.207
-928716.313	1644369.750	9.766
-658866.625	1983713.000	7.324
-257419.359	2268959.500	4.883
311961.125	2469939.500	2.441
976607.000	2504679.000	0.000
1633376.375	2149353.500	-2.441
2116992.500	1607548.500	-4.883
2310013.250	952672.438	-7.324
2292052.000	371227.656	-9.766
2141013.250	-99462.625	-12.207
1879043.125	-460531.844	-14.648
1581164.375	-741922.625	-17.090
1283641.750	-903382.875	-19.531
992819.375	-989078.500	-21.973
721047.500	-1021225.875	-24.414
484816.281	-988377.375	-26.855
282817.156	-909110.125	-29.297
138507.656	-801752.875	-31.738
34371.859	-706718.875	-34.180
-70044.984	-596556.938	-36.621
-122300.172	-493495.938	-39.063
-140926.281	-395504.656	-41.504
-151639.906	-310414.250	-43.945
-157086.297	-216362.266	-46.387
-134223.031	-161956.813	-48.828
-106109.156	-116162.094	-51.270
-53448.711	-76523.672	-53.711
-38445.875	-54721.102	-56.152
-17970.770	-25953.365	-58.594
11519.805	-16445.652	-61.035
13367.732	-30628.051	-63.477
37983.254	-14009.063	-65.918
58894.719	-22822.961	-68.359
55877.816	-20901.941	-70.801
58732.480	-44965.078	-73.242
70625.359	-43529.406	-75.684
74311.188	-49020.820	-78.125
77223.188	-42895.047	-80.566
75165.141	-46226.043	-83.008
72143.344	-45753.875	-85.449
81367.672	-42590.125	-87.891
71718.125	-62580.434	-90.332
63784.102	-62024.840	-92.773
64051.855	-64218.555	-95.215
57597.840	-79481.148	-97.656
64187.258	-61279.633	-100.098
53656.266	-51418.125	-102.539
57443.703	-56627.273	-104.980
39778.656	-62217.805	-107.422
45476.133	-38259.852	-109.863
38543.594	-52488.164	-112.305
27445.742	-56264.039	-114.746
37301.152	-50930.574	-117.188
33181.031	-51322.289	-119.629
39222.453	-50887.734	-122.070
34599.203	-54568.625	-124.512
24613.637	-44886.652	-126.953
31583.602	-43469.844	-129.395
34682.777	-46444.113	-131.836
26262.676	-35389.055	-134.277
35213.820	-31712.754	-136.719
33618.637	-30670.703	-139.160
23990.654	-25384.051	-141.602
32345.568	-27995.428	-144.043
18101.195	-16422.594	-146.484
29864.332	-24319.438	-148.926
28428.879	-31960.760	-151.367
38060.625	-22184.785	-153.809
32574.336	-29434.779	-156.250
20389.150	-30645.598	-158.691
24233.410	-30178.883	-161.133
41100.789	-22067.996	-163.574
36944.086	-29800.115	-166.016
27332.563	-15573.410	-168.457
31389.348	-23631.691	-170.898
25604.414	-30113.254	-173.340
27799.313	-24890.254	-175.781
25001.867	-28772.230	-178.223
35193.793	-13286.551	-180.664
29013.955	-19021.848	-183.105
27178.641	-24109.039	-185.547
25457.498	-23124.348	-187.988
27301.668	-30063.240	-190.430
30646.510	-13100.246	-192.871
25446.273	-23485.258	-195.313
20836.828	-17735.990	-197.754
21004.805	-25780.387	-200.195
20429.547	-14969.073	-202.637
18012.086	-20604.166	-205.078
12774.646	-19893.180	-207.520
27784.047	-18230.328	-209.961
16430.891	-17725.227	-212.402
18293.840	-21266.609	-214.844
24161.754	-17649.990	-217.285
25237.947	-16602.182	-219.727
21212.908	-34717.129	-222.168
19167.988	-21585.381	-224.609
13918.320	-20460.754	-227.051
17013.834	-13001.404	-229.492
17771.520	-23195.160	-231.934
21443.895	-23791.375	-234.375
23565.791	-13837.461	-236.816
5387.963	-20910.838	-239.258
20578.131	-21420.035	-241.699
12728.197	-20341.291	-244.141
15792.523	-25927.525	-246.582
22954.600	-9715.623	-249.023
5833.496	-17200.385	-251.465
20433.838	-6584.671	-253.906
28898.637	-16018.200	-256.348
17624.465	-27956.730	-258.789
2790.985	-10418.861	-261.230
18077.135	-10351.359	-263.672
18154.160	-9317.821	-266.113
26821.025	-10686.943	-268.555
13320.249	-19496.660	-270.996
14292.262	-15823.032	-273.438
14877.058	-22968.705	-275.879
8502.203	-15978.136	-278.320
30236.307	-8869.469	-280.762
20276.992	-10550.582	-283.203
6436.934	-16388.344	-285.645
24929.273	-20701.297	-288.086
4885.733	-12918.435	-290.527
22021.355	-24392.645	-292.969
22900.945	-3682.545	-295.410
21105.422	-17431.980	-297.852
4271.857	-13975.205	-300.293
15431.980	-15774.990	-302.734
17311.352	-12177.187	-305.176
16806.652	-1738.139	-307.617
15944.139	-22185.137	-310.059
11297.929	-20686.893	-312.500
20768.254	-27115.543	-314.941
14289.280	-11217.045	-317.383
11817.087	-20944.277	-319.824
19039.625	-17593.270	-322.266
4375.396	-5483.168	-324.707
9920.467	-17328.119	-327.148
19104.029	-12641.644	-329.590
